name,state,south,british,german,mobility
Corinth,Mississippi,True,32.746662,4.9738283,6.576325
New Albany,Mississippi,True,32.089672,4.9876018,5.4625554
Memphis,Tennessee,True,25.217052,7.626564,2.818274
West Memphis,Arkansas,True,23.010015,6.5570965,3.2014072
Bowling Green,Kentucky,True,36.251682,10.065016,6.4267354
Glasgow,Kentucky,True,37.579773,6.829459,6.1355767
Columbia,Tennessee,True,30.263815,7.755102,5.7019267
Nashville,Tennessee,True,33.621967,10.027659,5.726345
Tullahoma,Tennessee,True,33.100502,8.614668,6.1447425
Dickson,Tennessee,True,37.56423,8.945364,7.1536145
Clarksville,Tennessee,True,31.344631,11.589382,5.996885
Huntsville,Alabama,True,35.520317,10.605852,5.6676154
Gadsden,Alabama,True,38.30788,6.518028,7.105666
Florence,Alabama,True,37.782787,7.042747,7.106715
McMinnville,Tennessee,True,41.041943,7.698331,5.7225432
Cookeville,Tennessee,True,40.758747,7.5191283,7.202881
Chattanooga,Tennessee,True,35.635464,10.130108,5.7053065
Crossville,Tennessee,True,40.237297,7.8097315,7.084469
Ellijay,Georgia,True,41.84884,8.0348835,6.4965196
Cleveland,Tennessee,True,40.09122,9.13398,6.6822977
Rome,Georgia,True,36.624905,6.5794683,4.8462133
Tampa,Florida,True,31.11668,19.577335,6.0128427
Lakeland,Florida,True,30.08087,13.453534,5.2058496
Sarasota,Florida,True,32.85168,22.334103,6.8315663
Miami,Florida,True,15.379021,11.104662,7.2966084
Port St. Lucie,Florida,True,26.573988,17.528988,6.2430377
Cape Coral,Florida,True,31.804443,20.814545,6.019152
Palm Bay,Florida,True,33.155647,20.497814,6.588921
Orlando,Florida,True,32.586727,18.013304,5.781661
Deltona,Florida,True,32.603558,18.332342,5.8778915
Jacksonville,Florida,True,30.821163,12.648204,4.921316
Lake City,Florida,True,28.632011,8.372093,4.9539456
Ocala,Florida,True,29.109215,16.847223,5.6420493
Gainesville,Florida,True,30.583456,14.476754,4.9674654
Sumter,South Carolina,True,25.700241,5.8763003,3.4936707
Columbia,South Carolina,True,28.338354,14.330376,3.7213266
Barnwell,South Carolina,True,19.166773,9.618877,3.5372145
Charleston,South Carolina,True,26.542875,12.687423,4.4469237
Greenville,South Carolina,True,34.337,9.148859,4.698575
Aiken,Georgia,True,28.426245,8.889333,4.104875
Washington,Georgia,True,32.534523,5.946984,3.114478
Fitzgerald,Georgia,True,30.949312,5.530498,3.5914705
Cordele,Georgia,True,23.955252,4.6974955,3.304904
Valdosta,Georgia,True,30.154129,5.262039,3.1849012
Waycross,Georgia,True,37.63217,4.2121687,4.459174
Brunswick,Georgia,True,30.239492,9.794917,4.738267
Hinesville,Georgia,True,31.90725,7.9090557,4.89418
Statesboro,Georgia,True,32.84617,5.8913236,3.888889
Savannah,Georgia,True,25.963043,10.098316,4.0967093
Macon,Georgia,True,29.614235,6.317034,3.2611172
